Size	Deadline	
0.14	18	
0.88	5	
0.61	15	
0.16	21	
0.52	13	
0.93	9	
0.47	17	
0.03	26	
0.27	25	
0.62	15	
0.76	17	
0.14	17	
0.74	19	
0.08	19	
0.6	18	
0.53	22	
0.59	24	
0.18	35	
0.23	32	
0.74	23	
0.8	24	
0.27	32	
0.27	36	
0.27	31	
0.11	42	
0.62	33	
0.11	37	
0.22	43	
0.28	46	
0.11	35	
0.33	36	
0.13	41	
0.11	50	
0.13	50	
0.74	49	
0.17	54	
0.06	53	
0.77	50	
0.28	56	
0.15	44	
0.43	57	
0.16	55	
0.34	53	
0.25	60	
0.61	51	
0.2	50	
0.43	62	
0.09	65	
0.46	61	
0.66	63	
0.1	66	
0.67	65	
0.85	64	
0.78	62	
0.46	62	
0.9	68	
0.83	62	
0.51	65	
0.15	68	
0.48	66	
0.31	80	
0.16	76	
0.14	78	
0.08	69	
0.16	79	
0.06	78	
0.42	69	
0.38	71	
0.14	71	
0.16	79	
0.33	74	
0.23	87	
0.02	89	
0.67	90	
0.42	93	
0.08	84	
0.43	81	
0.46	95	
0.25	86	
0.55	89	
0.11	92	
0.57	95	
0.82	87	
0.61	95	
0.12	91	
0.3	91	
0.14	102	
0.37	90	
0.5	91	
0.38	98	
0.34	109	
0.14	108	
0.38	99	
0.53	109	
0.37	104	
0.65	113	
0.16	109	
0.72	110	
0.35	117	
0.18	118	
0.78	105	
0.43	110	
0.26	106	
0.35	111	
0.15	116	
0.34	114	
0.2	125	
0.34	122	
0.35	123	
0.13	127	
0.54	125	
0.57	129	
0.49	132	
0.52	123	
0.83	134	
0.81	135	
0.33	133	
0.5	127	
0.33	123	
0.34	134	
0.19	131	
0.03	132	
0.03	140	
0.01	134	
0.03	137	
0.06	144	
0.06	132	
0.06	140	
0.06	136	
0.12	146	
0.09	146	
0.09	139	
0.03	143	
0.09	143	
0.13	151	
0.09	138	
0.11	152	
0.04	147	
0.09	154	
0.09	143	
0.09	151	
0.06	161	
0.06	148	
0.09	160	
0.29	163	
0.06	150	
0.14	164	
0.11	152	
0.07	157	
0.06	166	
0.06	159	
0.06	160	
0.52	160	
0.17	171	
0.09	158	
0.13	161	
0.31	159	
0.04	173	
0.13	168	
0.07	171	
0.14	174	
0.11	169	
0.08	166	
0.05	172	
0.17	171	
0.08	178	
0.12	180	
0.06	185	
0.02	187	
0.34	184	
0.45	187	
0.03	187	
0.14	192	
0.03	189	
0.03	188	
0.39	190	
0.46	185	
0.02	192	
0.35	186	
0.02	189	
0.57	195	
0.04	187	
0.1	191	
0.1	194	
0.13	189	
0.16	196	
0.08	204	
0.16	202	
0.48	199	
0.02	203	
0.13	198	
0.07	209	
0.23	199	
0.07	197	
0.29	197	
0.39	211	
0.15	203	
0.02	207	
0.07	215	
0.23	210	
0.22	204	
0.17	209	
0.09	206	
0.13	219	
0.07	209	
0.05	222	
0.23	210	
0.02	224	
0.02	213	
0.02	226	
0.03	218	
0.05	227	
0.03	215	
0.03	222	
0.03	231	
0.03	227	
0.03	219	
0.03	235	
0.03	229	
0.01	229	
0.01	235	
0.06	237	
0.07	235	
0.07	229	
0.41	237	
0.21	238	
0.06	229	
0.05	238	
0.06	238	
0.26	241	
0.06	235	
0.06	248	
0.04	235	
0.36	250	
0.22	238	
0.08	246	
0.03	253	
0.03	248	
0.03	247	
0.06	258	
0.09	243	
0.09	256	
0.03	246	
0.18	256	
0.06	253	
0.09	256	
0.02	249	
0.02	255	
0.06	251	
0.06	256	
0.02	253	
0.15	268	
0.02	265	
0.01	267	
0.02	264	
0.0	275	
0.68	265	
0.63	262	
0.12	277	
0.02	270	
0.02	270	
0.17	277	
0.09	266	
0.18	274	
0.06	276	
0.06	269	
0.06	280	
0.19	281	
0.04	283	
0.08	286	
0.08	281	
0.08	288	
0.18	281	
0.02	287	
0.03	281	
0.15	287	
0.06	289	
0.06	285	
0.01	295	
0.03	283	
0.11	291	
0.14	296	
0.15	299	
0.05	303	
0.02	301	
0.02	294	
0.06	299	
0.02	301	
0.02	294	
0.02	308	
0.02	309	
0.02	296	
0.02	312	
0.02	308	
0.02	311	
0.02	299	
0.02	302	
0.01	316	
0.06	306	
0.01	308	
0.04	312	
0.04	317	
0.02	314	
0.2	311	
0.04	316	
0.06	324	
0.07	326	
0.05	311	
0.02	326	
0.01	319	
0.02	313	
0.12	315	
0.15	327	
0.03	326	
0.06	321	
0.06	323	
0.06	323	
0.06	336	
0.13	333	
0.03	327	
0.06	324	
0.03	341	
0.15	326	
0.06	328	
0.06	328	
0.06	342	
0.03	342	
0.06	343	
0.02	332	
0.03	343	
0.23	348	
0.38	345	
0.0	346	
0.01	347	
0.06	346	
0.02	348	
0.04	339	
0.01	344	
0.0	355	
0.01	352	
0.01	355	
0.01	356	
0.01	348	
0.01	353	
0.01	352	
0.0	358	
0.01	349	
0.0	362	
0.0	362	
0.04	362	
0.01	358	
0.02	361	
0.02	368	
0.04	368	
0.02	361	
0.0	368	
0.0	370	
0.02	367	
0.0	366	
0.0	365	
0.01	378	
0.01	364	
0.1	382	
0.01	367	
0.0	370	
0.0	379	
0.0	386	
0.01	376	
0.03	380	
0.0	388	
0.0	375	
0.0	379	
0.01	376	
0.0	392	
0.03	380	
0.03	395	
0.06	380	
0.0	390	
0.01	392	
0.0	396	
0.02	384	
0.0	399	
0.0	390	
0.0	386	
0.0	400	
0.02	390	
0.03	401	
0.01	397	
