Size	Deadline	
0.2	12	
0.15	8	
0.1	18	
0.1	8	
0.99	18	
0.99	13	
0.99	21	
0.98	11	
0.98	13	
0.98	22	
0.97	27	
0.97	16	
0.97	19	
0.97	16	
0.96	29	
0.96	23	
0.96	36	
0.96	21	
0.96	24	
0.95	28	
0.95	27	
0.95	35	
0.95	37	
0.94	41	
0.94	40	
0.93	38	
0.93	32	
0.92	39	
0.92	45	
0.91	43	
0.91	35	
0.91	51	
0.9	49	
0.9	53	
0.9	45	
0.9	42	
0.89	46	
0.89	44	
0.89	45	
0.88	58	
0.88	50	
0.88	56	
0.87	54	
0.86	57	
0.86	54	
0.86	60	
0.86	62	
0.85	59	
0.85	57	
0.85	52	
0.84	57	
0.84	70	
0.84	69	
0.84	62	
0.83	66	
0.83	70	
0.83	73	
0.83	68	
0.83	64	
0.82	71	
0.82	79	
0.82	73	
0.82	79	
0.82	71	
0.81	73	
0.81	81	
0.81	72	
0.81	72	
0.8	79	
0.8	76	
0.8	87	
0.8	88	
0.79	88	
0.79	78	
0.78	86	
0.78	85	
0.77	80	
0.77	93	
0.77	84	
0.76	89	
0.75	83	
0.75	99	
0.74	101	
0.74	88	
0.74	91	
0.73	98	
0.73	91	
0.73	97	
0.72	95	
0.72	92	
0.71	94	
0.71	107	
0.71	107	
0.71	104	
0.7	112	
0.7	107	
0.69	102	
0.68	104	
0.67	106	
0.65	113	
0.65	109	
0.64	107	
0.64	112	
0.64	117	
0.63	107	
0.63	119	
0.63	121	
0.62	125	
0.62	115	
0.62	114	
0.62	124	
0.6	114	
0.6	116	
0.6	121	
0.6	127	
0.59	135	
0.59	124	
0.59	127	
0.58	133	
0.58	132	
0.58	124	
0.58	129	
0.57	139	
0.56	129	
0.56	127	
0.56	143	
0.56	134	
0.55	136	
0.55	131	
0.54	144	
0.54	139	
0.54	149	
0.53	147	
0.53	139	
0.53	146	
0.53	155	
0.53	150	
0.53	154	
0.52	157	
0.52	146	
0.52	153	
0.52	151	
0.52	150	
0.5	153	
0.5	163	
0.5	162	
0.5	149	
0.5	152	
0.5	167	
0.49	159	
0.49	160	
0.48	164	
0.48	162	
0.48	159	
0.47	160	
0.47	169	
0.46	163	
0.45	175	
0.45	176	
0.45	179	
0.44	175	
0.44	181	
0.44	166	
0.44	181	
0.44	182	
0.43	179	
0.43	183	
0.43	184	
0.43	185	
0.43	179	
0.42	175	
0.42	176	
0.42	184	
0.42	185	
0.41	179	
0.41	190	
0.4	181	
0.4	190	
0.4	184	
0.39	182	
0.39	189	
0.38	200	
0.37	195	
0.36	188	
0.36	193	
0.36	202	
0.36	195	
0.35	190	
0.35	198	
0.34	192	
0.34	198	
0.33	208	
0.33	197	
0.32	205	
0.32	213	
0.32	212	
0.31	215	
0.31	209	
0.31	209	
0.3	206	
0.3	203	
0.3	221	
0.2	217	
0.15	206	
0.1	207	
0.1	216	
0.1	210	
0.99	217	
0.99	214	
0.99	226	
0.99	228	
0.98	214	
0.98	216	
0.98	221	
0.98	219	
0.97	226	
0.97	235	
0.97	221	
0.96	238	
0.96	234	
0.96	225	
0.96	232	
0.96	241	
0.95	234	
0.95	233	
0.95	237	
0.94	230	
0.94	232	
0.94	243	
0.92	234	
0.92	245	
0.92	245	
0.92	243	
0.92	248	
0.92	249	
0.91	242	
0.91	250	
0.9	251	
0.9	251	
0.9	247	
0.9	245	
0.9	259	
0.9	245	
0.89	261	
0.89	261	
0.88	262	
0.88	266	
0.88	257	
0.87	258	
0.87	269	
0.86	269	
0.86	264	
0.85	272	
0.85	271	
0.85	264	
0.84	260	
0.84	259	
0.84	270	
0.84	272	
0.83	264	
0.82	266	
0.82	274	
0.81	279	
0.81	281	
0.79	270	
0.79	275	
0.78	269	
0.77	285	
0.77	274	
0.77	289	
0.77	285	
0.77	289	
0.76	284	
0.76	279	
0.75	293	
0.75	280	
0.74	285	
0.74	285	
0.74	287	
0.73	294	
0.73	299	
0.73	288	
0.73	289	
0.73	290	
0.73	302	
0.72	290	
0.71	297	
0.7	305	
0.7	305	
0.7	296	
0.7	297	
0.7	308	
0.69	298	
0.69	313	
0.69	306	
0.69	311	
0.68	299	
0.68	317	
0.67	306	
0.67	303	
0.67	309	
0.66	316	
0.66	321	
0.65	321	
0.65	316	
0.64	324	
0.64	311	
0.63	317	
0.63	316	
0.63	321	
0.62	319	
0.62	330	
0.62	319	
0.62	325	
0.62	325	
0.6	329	
0.6	322	
0.6	337	
0.6	326	
0.59	331	
0.59	328	
0.59	330	
0.58	336	
0.58	339	
0.58	328	
0.58	343	
0.58	331	
0.58	334	
0.57	338	
0.57	347	
0.57	337	
0.56	335	
0.56	346	
0.56	337	
0.56	349	
0.55	344	
0.55	354	
0.55	342	
0.54	356	
0.54	346	
0.54	357	
0.53	353	
0.53	346	
0.53	348	
0.53	359	
0.53	354	
0.53	365	
0.52	356	
0.51	361	
0.5	353	
0.49	353	
0.49	365	
0.49	360	
0.49	356	
0.49	374	
0.48	367	
0.48	363	
0.48	368	
0.47	366	
0.47	362	
0.47	370	
0.47	381	
0.47	368	
0.47	374	
0.46	376	
0.45	381	
0.45	381	
0.45	381	
0.44	386	
0.44	380	
0.43	384	
0.43	384	
0.43	376	
0.42	382	
0.42	386	
0.41	384	
0.41	389	
0.41	391	
0.41	386	
0.4	387	
0.39	393	
0.39	387	
0.39	390	
0.38	401	
0.38	403	
0.38	393	
0.37	399	
0.37	395	
0.37	393	
0.36	407	
0.36	397	
0.36	398	
0.35	403	
0.35	407	
0.35	412	
0.34	411	
0.33	416	
0.33	414	
0.33	405	
0.33	416	
0.32	405	
0.31	411	
0.31	406	
0.3	415	
0.2	420	
0.15	425	
0.1	412	
0.1	426	
0.99	422	
0.98	424	
0.97	428	
0.97	430	
0.97	428	
0.96	429	
0.96	421	
0.96	419	
0.95	423	
0.95	435	
0.95	421	
0.95	428	
0.94	423	
0.94	436	
0.94	435	
0.94	439	
0.94	439	
0.94	430	
0.93	436	
0.93	436	
0.93	433	
0.93	440	
0.93	444	
0.93	435	
0.92	436	
0.91	440	
0.91	441	
0.91	442	
0.9	453	
0.9	445	
0.9	452	
0.89	443	
0.89	443	
0.89	452	
0.87	452	
0.87	462	
0.86	463	
0.86	454	
0.85	450	
0.85	465	
0.85	458	
0.85	453	
0.85	458	
0.84	460	
0.84	472	
0.83	466	
0.83	471	
0.83	459	
0.83	459	
0.82	462	
0.82	476	
0.82	469	
0.82	466	
0.81	467	
0.81	470	
0.81	470	
0.81	468	
0.81	477	
0.81	481	
0.81	487	
0.8	476	
0.8	487	
0.78	479	
0.78	489	
0.78	491	
0.78	489	
0.77	490	
0.77	489	
0.77	479	
0.76	481	
0.76	494	
0.75	489	
0.75	489	
0.75	489	
0.75	490	
0.74	494	
0.74	501	
0.74	502	
0.74	497	
0.73	500	
0.73	494	
0.73	498	
0.71	503	
0.71	505	
0.71	506	
0.71	503	
0.7	507	
0.7	498	
0.69	510	
0.69	501	
0.68	506	
0.68	511	
0.67	504	
0.67	508	
0.67	521	
0.66	516	
0.66	513	
0.66	517	
0.65	517	
0.64	514	
0.63	520	
0.63	522	
0.63	525	
0.62	514	
0.61	523	
0.61	522	
0.61	526	
0.61	521	
0.61	531	
0.61	535	
0.6	525	
0.6	531	
0.6	531	
0.6	526	
0.58	542	
0.58	530	
0.58	541	
0.58	531	
0.57	534	
0.57	533	
0.57	545	
0.57	546	
0.56	534	
0.56	551	
0.56	547	
0.56	540	
0.56	544	
0.56	538	
0.55	544	
0.54	552	
0.53	553	
0.53	558	
0.53	558	
0.53	550	
0.52	557	
0.52	554	
0.52	564	
0.52	552	
0.51	555	
0.51	561	
0.5	561	
0.5	565	
0.49	569	
0.49	568	
0.49	571	
0.48	560	
0.48	571	
0.48	566	
0.48	564	
0.48	572	
0.48	564	
0.47	572	
0.47	563	
0.46	573	
0.46	571	
0.46	575	
0.46	579	
0.46	583	
0.44	573	
0.44	572	
0.44	585	
0.43	576	
0.43	581	
0.43	580	
0.42	584	
0.42	591	
0.42	580	
