Size	Deadline	
0.5	11	
1.0	16	
1.0	16	
0.99	10	
0.97	13	
0.97	17	
0.97	12	
0.93	26	
0.93	11	
0.08	26	
0.08	18	
0.07	17	
0.06	26	
0.06	18	
0.06	33	
0.03	34	
0.76	21	
0.18	21	
0.15	35	
0.15	28	
0.13	35	
0.11	28	
0.1	34	
0.1	42	
0.63	27	
0.62	31	
0.62	46	
0.61	45	
0.61	32	
0.51	42	
0.5	34	
0.44	41	
0.44	48	
0.43	48	
0.43	42	
0.4	48	
0.39	56	
0.37	55	
0.37	45	
0.3	56	
0.23	47	
0.2	51	
0.19	49	
0.18	60	
0.17	48	
0.15	57	
0.14	61	
0.13	65	
0.13	57	
0.12	56	
0.08	55	
0.08	59	
0.28	65	
0.27	59	
0.25	61	
0.24	65	
0.23	74	
0.22	71	
0.21	74	
0.82	69	
0.81	78	
0.75	72	
0.73	72	
0.71	72	
0.67	77	
0.67	69	
0.63	77	
0.59	77	
0.57	87	
0.56	76	
0.52	76	
0.49	86	
0.48	88	
0.47	86	
0.46	94	
0.41	81	
0.39	89	
0.99	87	
0.96	90	
0.96	82	
0.92	88	
0.92	87	
0.91	98	
0.29	91	
0.26	104	
0.21	95	
0.2	94	
0.19	93	
0.18	98	
0.15	109	
0.15	109	
0.13	98	
0.11	106	
0.1	103	
0.1	114	
0.1	109	
0.09	102	
0.08	100	
