Size	Deadline	
0.5	13	
1.0	20	
1.0	14	
0.99	10	
0.97	20	
0.97	9	
0.97	16	
0.93	19	
0.93	20	
0.08	16	
0.08	26	
0.07	18	
0.06	29	
0.06	18	
0.06	29	
0.03	23	
0.76	34	
0.18	34	
0.15	26	
0.15	39	
0.13	37	
0.11	32	
0.1	38	
0.1	28	
0.63	41	
0.62	33	
0.62	29	
0.61	30	
0.61	45	
0.51	36	
0.5	34	
0.44	40	
0.44	49	
0.43	46	
0.43	37	
0.4	38	
0.39	50	
0.37	40	
0.37	56	
0.3	45	
0.23	49	
0.2	49	
0.19	54	
0.18	60	
0.17	58	
0.15	65	
0.14	61	
0.13	63	
0.13	54	
0.12	65	
0.08	54	
0.08	69	
0.28	58	
0.27	64	
0.25	63	
0.24	67	
0.23	70	
0.22	62	
0.21	65	
0.82	71	
0.81	63	
0.75	79	
0.73	81	
0.71	80	
0.67	78	
0.67	74	
0.63	69	
0.59	70	
0.57	79	
0.56	72	
0.52	90	
0.49	86	
0.48	87	
0.47	85	
0.46	88	
0.41	94	
0.39	82	
0.99	81	
0.96	95	
0.96	84	
0.92	91	
0.92	97	
0.91	94	
0.29	97	
0.26	95	
0.21	99	
0.2	101	
0.19	102	
0.18	108	
0.15	102	
0.15	109	
0.13	110	
0.11	96	
0.1	111	
0.1	104	
0.1	114	
0.09	108	
0.08	109	
0.08	113	
0.07	110	
0.06	108	
0.06	104	
0.06	113	
0.03	119	
0.5	109	
1.0	110	
0.28	125	
0.27	126	
0.25	118	
0.24	129	
0.23	121	
0.22	118	
0.21	118	
0.88	116	
0.87	121	
0.86	129	
0.85	123	
0.76	137	
0.74	128	
0.72	124	
0.69	132	
0.67	135	
0.75	135	
0.73	134	
0.71	130	
0.67	133	
0.67	131	
0.63	147	
0.59	136	
0.57	136	
0.56	138	
0.52	144	
0.4	139	
0.4	145	
0.33	138	
0.33	150	
0.3	147	
0.3	157	
0.29	141	
0.28	142	
0.28	155	
0.27	147	
0.25	158	
0.24	162	
0.23	149	
0.22	165	
0.21	158	
0.2	159	
0.17	156	
0.14	154	
0.13	153	
0.11	160	
0.1	172	
0.07	165	
0.07	170	
0.03	159	
0.5	175	
1.0	168	
1.0	170	
0.99	167	
0.98	167	
0.97	175	
0.95	177	
0.94	174	
0.92	184	
0.92	170	
0.91	175	
0.82	183	
0.8	172	
0.77	175	
0.76	181	
0.75	178	
0.73	178	
0.73	182	
0.73	179	
0.71	188	
0.68	189	
0.65	183	
0.65	188	
0.63	195	
0.63	186	
0.63	200	
0.6	201	
0.59	195	
0.53	199	
0.45	189	
0.44	205	
0.4	193	
0.31	193	
0.25	195	
0.24	196	
0.24	208	
0.24	196	
0.23	208	
0.22	212	
0.21	211	
0.21	216	
0.15	207	
0.14	218	
0.14	214	
0.1	212	
0.1	216	
0.07	206	
0.07	220	
0.06	215	
0.03	220	
0.02	224	
0.02	226	
0.5	213	
1.0	218	
0.99	216	
0.98	224	
0.98	226	
0.93	222	
0.92	231	
0.89	219	
0.89	224	
0.84	233	
0.84	235	
0.83	233	
0.78	230	
0.77	230	
0.75	229	
0.73	241	
0.72	228	
0.71	240	
0.7	242	
0.69	242	
0.69	242	
0.68	248	
0.6	250	
0.6	240	
0.57	243	
0.56	253	
0.54	237	
0.5	252	
0.49	245	
0.49	248	
0.45	252	
0.37	253	
0.36	251	
0.35	246	
0.3	256	
0.3	251	
0.27	262	
0.26	264	
0.26	251	
0.25	252	
0.24	266	
0.21	255	
0.2	258	
0.19	261	
0.15	257	
0.14	269	
0.13	273	
0.11	261	
0.11	274	
0.08	270	
0.02	276	
0.02	269	
